date_code,swemwbs_score,type_of_tenure,household_type,age,gender,limiting_condition
2017,25.12,All,All,16-64 years,All,All
2017,23.82,All,All,16-64 years,All,All
2017,24.93,All,All,16-64 years,All,All
2017,25.27,All,All,16-64 years,All,All
2017,24.9,All,All,35-64 years,All,All
2017,24.42,All,All,16-64 years,All,All
2017,25.44,All,All,16-34 years,All,All
2017,25,All,All,16-64 years,All,All
2017,25.2,All,All,16-64 years,All,All
2017,24.32,All,All,35-64 years,All,All
2017,26.43,All,All,65 years and over,All,All
2017,25.31,All,All,65 years and over,All,All
2017,25.48,All,All,16-34 years,All,All
2017,25.37,All,All,35-64 years,All,All
2017,24.63,All,All,65 years and over,All,All
2017,24.24,All,All,16-34 years,All,All
2017,24.54,All,All,16-34 years,All,All
2017,25.58,All,All,35-64 years,All,All
2016,25.5,All,All,65 years and over,All,All
2015,25.46,All,All,65 years and over,All,All
2015,24.62,All,All,65 years and over,All,All
2015,28.2,All,All,65 years and over,All,All
2016,26.02,All,All,65 years and over,All,All
2015,26.47,All,All,65 years and over,All,All
2014,25.17,All,All,65 years and over,All,All
2014,27.1,All,All,65 years and over,All,All
2016,24.96,All,All,65 years and over,All,All
2015,24.34,All,All,65 years and over,All,All
2014,29.48,All,All,65 years and over,All,All
2016,27.7,All,All,65 years and over,All,All
2014,25.35,All,All,65 years and over,All,All
2016,26.12,All,All,65 years and over,All,All
2016,25.88,All,All,65 years and over,All,All
2014,25.81,All,All,65 years and over,All,All
2015,25.49,All,All,65 years and over,All,All
2014,25.91,All,All,65 years and over,All,All
2016,25.58,All,All,65 years and over,All,All
2016,26.31,All,All,65 years and over,All,All
2016,26.4,All,All,65 years and over,All,All
2015,25.9,All,All,65 years and over,All,All
2016,25.61,All,All,65 years and over,All,All
2014,25.88,All,All,65 years and over,All,All
2015,25.72,All,All,65 years and over,All,All
2015,25.44,All,All,65 years and over,All,All
2015,26.5,All,All,65 years and over,All,All
2015,25.81,All,All,65 years and over,All,All
2016,25.5,All,All,65 years and over,All,All
2014,25.22,All,All,65 years and over,All,All
2014,24.89,All,All,65 years and over,All,All
2016,26.24,All,All,65 years and over,All,All
2014,26.64,All,All,65 years and over,All,All
2015,25.94,All,All,65 years and over,All,All
2015,25.11,All,All,65 years and over,All,All
2014,25.06,All,All,65 years and over,All,All
2016,25.29,All,All,65 years and over,All,All
2015,25.88,All,All,65 years and over,All,All
2014,25.89,All,All,65 years and over,All,All
2014,24.09,All,All,65 years and over,All,All
2016,24.93,All,All,65 years and over,All,All
2016,24.57,All,All,65 years and over,All,All
2014,25.49,All,All,65 years and over,All,All
2015,24.78,All,All,65 years and over,All,All
2017,24.25,All,All,16-64 years,All,All
2017,24.14,All,All,16-64 years,All,All
2017,24.4,All,All,16-64 years,All,All
2016,25.86,All,All,65 years and over,All,All
2014,25.23,All,All,65 years and over,All,All
2014,25.05,All,All,65 years and over,All,All
2014,24.39,All,All,65 years and over,All,All
2015,25.6,All,All,65 years and over,All,All
2015,25.22,All,All,65 years and over,All,All
2016,25.71,All,All,65 years and over,All,All
2014,25.22,All,All,65 years and over,All,All
2014,25.06,All,All,65 years and over,All,All
2015,25.55,All,All,65 years and over,All,All
2015,25.45,All,All,65 years and over,All,All
2014,24.83,All,All,65 years and over,All,All
2015,24.5,All,All,65 years and over,All,All
2014,26.44,All,All,65 years and over,All,All
2016,24.83,All,All,65 years and over,All,All
2014,25.88,All,All,65 years and over,All,All
2016,25.2,All,All,65 years and over,All,All
2015,26.3,All,All,65 years and over,All,All
2014,24.68,All,All,65 years and over,All,All
2016,26.12,All,All,65 years and over,All,All
2014,25.25,All,All,65 years and over,All,All
2014,25.76,All,All,65 years and over,All,All
2016,25.86,All,All,65 years and over,All,All
2015,26.24,All,All,65 years and over,All,All
2015,25.74,All,All,65 years and over,All,All
2016,24.78,All,All,65 years and over,All,All
2016,25.24,All,All,65 years and over,All,All
2014,25.73,All,All,65 years and over,All,All
2015,25.36,All,All,65 years and over,All,All
2015,26.35,All,All,65 years and over,All,All
2015,25.73,All,All,65 years and over,All,All
2015,25.41,All,All,65 years and over,All,All
2016,24.91,All,All,65 years and over,All,All
2015,25.37,All,All,65 years and over,All,All
2016,24.73,All,All,65 years and over,All,All
2016,26.32,All,All,65 years and over,All,All
2015,25.87,All,All,65 years and over,All,All
2014,25.35,All,All,65 years and over,All,All
2016,26.1,All,All,65 years and over,All,All
2016,24.96,All,All,16-34 years,All,All
2016,24.41,All,All,35-64 years,All,All
2016,25.14,All,All,16-34 years,All,All
2016,24.42,All,All,35-64 years,All,All
2016,24.64,All,All,16-34 years,All,All
2016,25.63,All,All,16-34 years,All,All
2016,25.31,All,All,35-64 years,All,All
